,INVOICE_NO,CUSTOMER_ID,GENDER,AGE,CATEGORY,QUANTITY,PRICE,PAYMENT_METHOD,INVOICE_DATE,SHOPPING_MALL
1921,I227748,C101781,Female,26,Clothing,2,600.16,Credit Card,2021-02-19,Kanyon
1922,I523670,C117343,Female,18,Clothing,2,600.16,Cash,2021-02-19,Emaar Square Mall
1923,I245214,C965230,Female,61,Cosmetics,5,203.3,Credit Card,2021-02-19,Mall of Istanbul
1924,I133891,C189234,Female,39,Clothing,5,1500.4,Cash,2021-02-19,Forum Istanbul
1925,I667931,C137284,Female,57,Clothing,4,1200.32,Cash,2021-02-19,Mall of Istanbul
1926,I418924,C608251,Female,49,Clothing,5,1500.4,Credit Card,2021-02-19,Cevahir AVM
1927,I820859,C112267,Male,46,Technology,2,2100.0,Cash,2021-02-19,Mall of Istanbul
1928,I445977,C264327,Male,54,Clothing,2,600.16,Cash,2021-02-19,Emaar Square Mall
1929,I124695,C263938,Female,36,Clothing,1,300.08,Cash,2021-02-19,Istinye Park
1930,I772565,C232063,Male,59,Food & Beverage,4,20.92,Credit Card,2021-02-19,Kanyon
1931,I311602,C340143,Male,18,Clothing,2,600.16,Cash,2021-02-19,Metropol AVM
1932,I290023,C763116,Male,44,Technology,1,1050.0,Cash,2021-02-19,Cevahir AVM
1933,I970936,C736128,Female,39,Cosmetics,2,81.32,Credit Card,2021-02-19,Cevahir AVM
1934,I322515,C218968,Female,22,Food & Beverage,4,20.92,Credit Card,2021-02-19,Mall of Istanbul
1935,I284104,C247634,Female,18,Clothing,3,900.24,Credit Card,2021-02-19,Metropol AVM
1936,I229558,C106538,Female,33,Cosmetics,5,203.3,Debit Card,2021-02-19,Istinye Park
1937,I160884,C128044,Male,32,Clothing,4,1200.32,Credit Card,2021-02-19,Metrocity
1938,I773168,C660438,Male,43,Cosmetics,2,81.32,Credit Card,2021-02-19,Metropol AVM
1939,I136266,C197116,Female,39,Clothing,2,600.16,Debit Card,2021-02-19,Istinye Park
1940,I121696,C243697,Female,19,Food & Beverage,2,10.46,Debit Card,2021-02-19,Emaar Square Mall
1941,I183615,C179904,Female,56,Clothing,2,600.16,Credit Card,2021-02-19,Cevahir AVM
1942,I171637,C286556,Female,25,Souvenir,4,46.92,Cash,2021-02-19,Metropol AVM
1943,I358391,C587163,Male,24,Clothing,4,1200.32,Cash,2021-02-19,Istinye Park
1944,I444970,C266688,Female,61,Souvenir,2,23.46,Credit Card,2021-02-19,Cevahir AVM
1945,I120199,C178991,Male,40,Food & Beverage,3,15.69,Credit Card,2021-02-19,Metrocity
1946,I134085,C200743,Male,51,Food & Beverage,5,26.15,Cash,2021-02-19,Metrocity
1947,I101755,C333796,Female,53,Clothing,3,900.24,Debit Card,2021-02-19,Metrocity
1948,I185357,C884646,Female,43,Souvenir,1,11.73,Cash,2021-02-19,Metropol AVM
1949,I305710,C902072,Male,37,Clothing,5,1500.4,Debit Card,2021-02-19,Metrocity
1950,I172141,C199340,Female,46,Clothing,4,1200.32,Credit Card,2021-02-19,Forum Istanbul
1951,I950702,C339462,Female,27,Technology,4,4200.0,Credit Card,2021-02-19,Istinye Park
1952,I572901,C109254,Male,66,Clothing,3,900.24,Credit Card,2021-02-19,Kanyon
1953,I174589,C878161,Male,28,Cosmetics,1,40.66,Credit Card,2021-02-19,Cevahir AVM
1954,I170625,C150664,Male,40,Souvenir,5,58.65,Cash,2021-02-19,Zorlu Center
1955,I201914,C268865,Male,41,Books,2,30.3,Credit Card,2021-02-19,Kanyon
1956,I120147,C533328,Female,32,Souvenir,4,46.92,Cash,2021-02-19,Forum Istanbul
1957,I642546,C249919,Male,41,Clothing,5,1500.4,Cash,2021-02-19,Kanyon
1958,I308022,C394764,Male,18,Clothing,1,300.08,Debit Card,2021-02-19,Metrocity
1959,I296934,C208955,Female,41,Clothing,3,900.24,Debit Card,2021-02-19,Forum Istanbul
1960,I582674,C266317,Male,39,Souvenir,1,11.73,Cash,2021-02-19,Istinye Park
1961,I511959,C194465,Female,31,Cosmetics,4,162.64,Cash,2021-02-19,Kanyon
1962,I266491,C335778,Male,62,Technology,2,2100.0,Cash,2021-02-19,Metrocity
1963,I149977,C102584,Female,66,Food & Beverage,1,5.23,Cash,2021-02-19,Mall of Istanbul
1964,I194431,C228093,Male,52,Food & Beverage,2,10.46,Cash,2021-02-19,Mall of Istanbul
1965,I120965,C203148,Female,56,Food & Beverage,2,10.46,Credit Card,2021-02-19,Cevahir AVM
1966,I207748,C334584,Male,45,Food & Beverage,1,5.23,Credit Card,2021-02-19,Cevahir AVM
1967,I986399,C284429,Female,48,Toys,4,143.36,Credit Card,2021-02-19,Viaport Outlet
1968,I234498,C140553,Male,61,Toys,1,35.84,Credit Card,2021-02-19,Mall of Istanbul
1969,I293362,C267256,Female,20,Toys,4,143.36,Credit Card,2021-02-19,Mall of Istanbul
1970,I323944,C180345,Male,25,Technology,1,1050.0,Credit Card,2021-02-19,Metrocity
1971,I181389,C172483,Male,32,Souvenir,2,23.46,Cash,2021-02-19,Forum Istanbul
1972,I187930,C202297,Female,28,Clothing,1,300.08,Cash,2021-02-19,Mall of Istanbul
1973,I110166,C299488,Female,22,Clothing,3,900.24,Cash,2021-02-19,Metrocity
1974,I911617,C285764,Female,26,Cosmetics,3,121.98,Credit Card,2021-02-19,Kanyon
1975,I817753,C965506,Female,45,Cosmetics,1,40.66,Cash,2021-02-19,Metrocity
1976,I620947,C252209,Female,43,Clothing,3,900.24,Credit Card,2021-02-19,Metrocity
1977,I305244,C188810,Male,38,Shoes,5,3000.85,Credit Card,2021-02-19,Kanyon
1978,I158354,C691412,Female,50,Cosmetics,5,203.3,Credit Card,2021-02-19,Kanyon
1979,I172379,C291428,Male,49,Clothing,1,300.08,Debit Card,2021-02-19,Istinye Park
1980,I177715,C317067,Female,47,Food & Beverage,4,20.92,Credit Card,2021-02-19,Kanyon
1981,I208168,C151466,Female,35,Clothing,3,900.24,Credit Card,2021-02-19,Mall of Istanbul
1982,I328040,C179651,Female,44,Cosmetics,5,203.3,Cash,2021-02-19,Mall of Istanbul
1983,I404041,C132203,Male,64,Books,2,30.3,Cash,2021-02-19,Metrocity
1984,I210841,C110774,Male,51,Clothing,5,1500.4,Credit Card,2021-02-19,Kanyon
1985,I197914,C731238,Female,59,Toys,2,71.68,Cash,2021-02-19,Istinye Park
1986,I968933,C822793,Female,27,Cosmetics,4,162.64,Credit Card,2021-02-19,Kanyon
1987,I241831,C305250,Female,27,Books,2,30.3,Cash,2021-02-19,Emaar Square Mall
1988,I739400,C123338,Male,56,Clothing,5,1500.4,Cash,2021-02-19,Mall of Istanbul
1989,I761007,C201404,Female,51,Shoes,1,600.17,Credit Card,2021-02-19,Metropol AVM
1990,I100487,C213360,Female,22,Cosmetics,4,162.64,Cash,2021-02-19,Kanyon
1991,I188213,C227604,Female,48,Cosmetics,4,162.64,Credit Card,2021-02-19,Mall of Istanbul
1992,I308386,C103188,Female,20,Toys,4,143.36,Credit Card,2021-02-19,Kanyon
1993,I122654,C201312,Female,64,Books,1,15.15,Credit Card,2021-02-19,Istinye Park
1994,I729427,C106439,Male,65,Cosmetics,3,121.98,Cash,2021-02-19,Mall of Istanbul
1995,I961660,C339927,Female,38,Clothing,3,900.24,Cash,2021-02-19,Istinye Park
1996,I275538,C102718,Female,51,Clothing,1,300.08,Cash,2021-02-20,Metrocity
1997,I702741,C969322,Female,50,Cosmetics,4,162.64,Credit Card,2021-02-20,Kanyon
1998,I286981,C294479,Male,35,Shoes,5,3000.85,Debit Card,2021-02-20,Kanyon
1999,I306664,C321725,Male,24,Cosmetics,2,81.32,Debit Card,2021-02-20,Mall of Istanbul
2000,I386499,C154991,Male,66,Clothing,2,600.16,Debit Card,2021-02-20,Mall of Istanbul
2001,I148854,C235387,Female,47,Cosmetics,1,40.66,Debit Card,2021-02-20,Mall of Istanbul
2002,I229321,C181814,Male,46,Clothing,1,300.08,Cash,2021-02-20,Zorlu Center
2003,I228545,C321670,Male,55,Food & Beverage,5,26.15,Cash,2021-02-20,Kanyon
2004,I314132,C213621,Female,53,Food & Beverage,3,15.69,Credit Card,2021-02-20,Metrocity
2005,I115683,C243004,Female,43,Cosmetics,2,81.32,Debit Card,2021-02-20,Kanyon
2006,I725950,C277579,Female,31,Books,1,15.15,Credit Card,2021-02-20,Zorlu Center
2007,I247830,C104224,Male,68,Shoes,1,600.17,Cash,2021-02-20,Metropol AVM
2008,I110743,C331352,Male,28,Books,1,15.15,Cash,2021-02-20,Istinye Park
2009,I295057,C896297,Male,25,Food & Beverage,4,20.92,Cash,2021-02-20,Emaar Square Mall
2010,I158003,C104350,Female,46,Clothing,2,600.16,Cash,2021-02-20,Metrocity
2011,I290538,C410456,Female,60,Books,2,30.3,Cash,2021-02-20,Metrocity
2012,I681225,C462089,Male,53,Toys,4,143.36,Cash,2021-02-20,Forum Istanbul
2013,I817811,C199284,Female,48,Shoes,4,2400.68,Cash,2021-02-20,Mall of Istanbul
2014,I139172,C212048,Male,60,Clothing,3,900.24,Credit Card,2021-02-20,Kanyon
2015,I140489,C885435,Female,42,Shoes,3,1800.51,Credit Card,2021-02-20,Emaar Square Mall
2016,I164236,C294826,Female,35,Clothing,1,300.08,Credit Card,2021-02-20,Mall of Istanbul
2017,I543579,C320801,Female,53,Souvenir,2,23.46,Debit Card,2021-02-20,Mall of Istanbul
2018,I259435,C213923,Male,18,Clothing,5,1500.4,Credit Card,2021-02-20,Viaport Outlet
2019,I671266,C795387,Male,66,Toys,4,143.36,Debit Card,2021-02-20,Mall of Istanbul
2020,I165747,C320396,Female,55,Shoes,5,3000.85,Credit Card,2021-02-20,Metropol AVM
2021,I322666,C227302,Male,51,Food & Beverage,2,10.46,Debit Card,2021-02-20,Emaar Square Mall
2022,I739386,C982195,Female,45,Clothing,3,900.24,Cash,2021-02-20,Istinye Park
2023,I221126,C318207,Male,67,Cosmetics,3,121.98,Debit Card,2021-02-20,Metropol AVM
2024,I102535,C194716,Male,34,Shoes,1,600.17,Cash,2021-02-20,Metropol AVM
2025,I256680,C160457,Male,20,Food & Beverage,5,26.15,Credit Card,2021-02-20,Kanyon
2026,I207282,C328672,Male,61,Clothing,3,900.24,Credit Card,2021-02-20,Metropol AVM
2027,I252967,C943292,Female,40,Clothing,5,1500.4,Credit Card,2021-02-20,Metrocity
2028,I323619,C134696,Female,22,Clothing,2,600.16,Debit Card,2021-02-20,Viaport Outlet
2029,I964838,C334196,Female,29,Shoes,5,3000.85,Cash,2021-02-20,Viaport Outlet
2030,I239440,C545465,Female,27,Clothing,1,300.08,Debit Card,2021-02-20,Metrocity
2031,I142074,C273998,Male,54,Clothing,5,1500.4,Cash,2021-02-20,Kanyon
2032,I230991,C254501,Male,60,Cosmetics,2,81.32,Cash,2021-02-20,Kanyon
2033,I825734,C181899,Female,69,Shoes,3,1800.51,Debit Card,2021-02-20,Forum Istanbul
2034,I948495,C242535,Male,30,Books,4,60.6,Cash,2021-02-20,Kanyon
2035,I326522,C321017,Male,32,Shoes,4,2400.68,Cash,2021-02-20,Metropol AVM
2036,I687830,C145014,Female,24,Books,5,75.75,Credit Card,2021-02-03,Mall of Istanbul
2037,I671021,C286914,Female,53,Clothing,3,900.24,Cash,2021-02-03,Cevahir AVM
2038,I300350,C235773,Female,51,Souvenir,4,46.92,Debit Card,2021-02-03,Metropol AVM
2039,I116379,C955508,Male,51,Cosmetics,1,40.66,Cash,2021-02-03,Istinye Park
2040,I458380,C211374,Female,28,Clothing,3,900.24,Cash,2021-02-03,Viaport Outlet
2041,I304039,C285898,Male,42,Clothing,4,1200.32,Cash,2021-02-03,Kanyon
2042,I219990,C220148,Male,63,Shoes,2,1200.34,Credit Card,2021-02-03,Istinye Park
2043,I305384,C225434,Male,55,Clothing,3,900.24,Cash,2021-02-03,Zorlu Center
2044,I993890,C592815,Female,64,Food & Beverage,3,15.69,Cash,2021-02-03,Metrocity
2045,I297911,C140578,Female,60,Clothing,2,600.16,Cash,2021-02-03,Metropol AVM
2046,I127097,C159792,Male,19,Toys,3,107.52,Credit Card,2021-02-03,Metrocity
2047,I104115,C230602,Female,56,Food & Beverage,4,20.92,Credit Card,2021-02-03,Metrocity
2048,I242232,C288411,Female,56,Clothing,1,300.08,Credit Card,2021-02-03,Viaport Outlet
2049,I409288,C513561,Female,56,Food & Beverage,3,15.69,Cash,2021-02-03,Viaport Outlet
2050,I732705,C327310,Female,21,Books,1,15.15,Cash,2021-02-03,Metrocity
2051,I348799,C586825,Female,31,Clothing,2,600.16,Credit Card,2021-02-03,Kanyon
2052,I176884,C122928,Female,38,Food & Beverage,4,20.92,Cash,2021-02-03,Metrocity
2053,I235098,C924104,Female,32,Toys,4,143.36,Cash,2021-02-03,Mall of Istanbul
2054,I329935,C948324,Male,63,Clothing,3,900.24,Credit Card,2021-02-03,Kanyon
2055,I283298,C197978,Male,54,Cosmetics,2,81.32,Cash,2021-02-03,Kanyon
2056,I652975,C294282,Male,63,Shoes,3,1800.51,Cash,2021-02-03,Zorlu Center
2057,I108396,C285909,Female,44,Toys,1,35.84,Cash,2021-02-03,Kanyon
2058,I259343,C416091,Female,52,Cosmetics,4,162.64,Credit Card,2021-02-03,Mall of Istanbul
2059,I205658,C294580,Female,18,Cosmetics,5,203.3,Cash,2021-02-03,Zorlu Center
2060,I267727,C197740,Male,42,Food & Beverage,5,26.15,Credit Card,2021-02-03,Metrocity
2061,I250354,C744414,Female,21,Books,3,45.45,Credit Card,2021-02-03,Cevahir AVM
2062,I206339,C278621,Female,24,Souvenir,1,11.73,Cash,2021-02-03,Metrocity
2063,I706637,C191329,Female,54,Clothing,4,1200.32,Credit Card,2021-02-03,Viaport Outlet
2064,I304484,C237089,Female,51,Toys,3,107.52,Cash,2021-02-03,Metrocity
2065,I212778,C150791,Female,64,Clothing,5,1500.4,Cash,2021-02-03,Mall of Istanbul
2066,I189373,C225821,Female,66,Food & Beverage,3,15.69,Cash,2021-02-03,Istinye Park
2067,I122359,C561919,Female,29,Clothing,3,900.24,Credit Card,2021-02-03,Mall of Istanbul
2068,I293190,C339530,Female,21,Food & Beverage,1,5.23,Cash,2021-02-03,Kanyon
2069,I318530,C492330,Female,57,Technology,4,4200.0,Credit Card,2021-02-03,Zorlu Center
2070,I201818,C155599,Female,42,Clothing,4,1200.32,Cash,2021-02-03,Mall of Istanbul
2071,I214772,C152214,Female,25,Shoes,3,1800.51,Cash,2021-02-03,Kanyon
2072,I936206,C953556,Male,22,Cosmetics,1,40.66,Cash,2021-02-03,Metrocity
2073,I444618,C673032,Male,22,Clothing,2,600.16,Credit Card,2021-02-03,Emaar Square Mall
2074,I179954,C240846,Male,56,Clothing,1,300.08,Debit Card,2021-02-03,Metropol AVM
2075,I284698,C304737,Male,64,Shoes,2,1200.34,Cash,2021-02-03,Zorlu Center
2076,I928261,C299421,Female,30,Shoes,4,2400.68,Credit Card,2021-02-03,Metropol AVM
2077,I275436,C332465,Female,27,Cosmetics,2,81.32,Credit Card,2021-02-03,Mall of Istanbul
2078,I340160,C122325,Female,65,Toys,4,143.36,Cash,2021-02-03,Metropol AVM
2079,I254158,C127983,Female,30,Shoes,2,1200.34,Cash,2021-02-03,Mall of Istanbul
2080,I360069,C191489,Female,39,Shoes,2,1200.34,Cash,2021-02-03,Viaport Outlet
2081,I168368,C158485,Female,53,Clothing,4,1200.32,Debit Card,2021-02-03,Forum Istanbul
2082,I263669,C224051,Female,64,Shoes,2,1200.34,Credit Card,2021-02-03,Cevahir AVM
2083,I110949,C267425,Male,22,Clothing,2,600.16,Cash,2021-02-03,Istinye Park
2084,I131176,C109968,Male,30,Food & Beverage,4,20.92,Debit Card,2021-02-03,Istinye Park
2085,I258580,C240236,Female,52,Cosmetics,1,40.66,Cash,2021-02-03,Cevahir AVM
2086,I106332,C257645,Male,46,Shoes,2,1200.34,Debit Card,2021-02-03,Viaport Outlet
2087,I293529,C374586,Male,40,Clothing,4,1200.32,Debit Card,2021-02-03,Istinye Park
2088,I947814,C319238,Male,63,Toys,4,143.36,Debit Card,2021-02-04,Emaar Square Mall
2089,I732330,C331186,Male,38,Food & Beverage,4,20.92,Cash,2021-02-04,Mall of Istanbul
2090,I184387,C256314,Male,58,Souvenir,5,58.65,Debit Card,2021-02-04,Kanyon
2091,I307016,C277408,Male,21,Toys,1,35.84,Debit Card,2021-02-04,Mall of Istanbul
2092,I636447,C169524,Female,59,Souvenir,3,35.19,Cash,2021-02-04,Viaport Outlet
2093,I876167,C227583,Female,30,Shoes,5,3000.85,Credit Card,2021-02-04,Kanyon
2094,I319783,C105444,Female,23,Toys,4,143.36,Cash,2021-02-04,Metropol AVM
2095,I123117,C302880,Male,46,Food & Beverage,1,5.23,Credit Card,2021-02-04,Forum Istanbul
2096,I222382,C760993,Male,35,Toys,1,35.84,Cash,2021-02-04,Istinye Park
2097,I323471,C217445,Female,25,Clothing,4,1200.32,Credit Card,2021-02-04,Mall of Istanbul
2098,I275273,C118886,Male,59,Toys,1,35.84,Debit Card,2021-02-04,Mall of Istanbul
2099,I351153,C304759,Male,24,Shoes,1,600.17,Credit Card,2021-02-04,Metrocity
2100,I266402,C128845,Female,29,Clothing,5,1500.4,Credit Card,2021-02-04,Kanyon
2101,I763508,C184282,Female,66,Books,3,45.45,Cash,2021-02-04,Viaport Outlet
2102,I224486,C565915,Male,20,Clothing,2,600.16,Cash,2021-02-04,Mall of Istanbul
2103,I269250,C225733,Female,37,Food & Beverage,5,26.15,Credit Card,2021-02-04,Mall of Istanbul
2104,I126147,C144699,Female,46,Shoes,1,600.17,Cash,2021-02-04,Mall of Istanbul
2105,I315132,C447712,Female,21,Clothing,5,1500.4,Debit Card,2021-02-04,Kanyon
2106,I202213,C123541,Female,49,Toys,5,179.2,Cash,2021-02-04,Metrocity
2107,I243410,C196225,Female,51,Clothing,3,900.24,Cash,2021-02-04,Metropol AVM
2108,I733704,C197935,Male,48,Cosmetics,5,203.3,Cash,2021-02-04,Metropol AVM
2109,I156341,C215028,Male,50,Clothing,5,1500.4,Cash,2021-02-04,Kanyon
2110,I168346,C611109,Male,61,Souvenir,5,58.65,Debit Card,2021-02-04,Cevahir AVM
2111,I148626,C257695,Male,64,Clothing,4,1200.32,Debit Card,2021-02-04,Mall of Istanbul
2112,I257567,C927744,Female,59,Clothing,4,1200.32,Debit Card,2021-02-04,Kanyon
2113,I142491,C524608,Female,52,Cosmetics,5,203.3,Credit Card,2021-02-04,Emaar Square Mall
2114,I482113,C733505,Female,19,Clothing,1,300.08,Cash,2021-02-04,Zorlu Center
2115,I161225,C329304,Female,26,Clothing,5,1500.4,Cash,2021-02-04,Istinye Park
2116,I118641,C327696,Male,34,Technology,5,5250.0,Cash,2021-02-04,Forum Istanbul
2117,I100775,C981100,Male,23,Cosmetics,5,203.3,Cash,2021-02-04,Metropol AVM
2118,I123468,C848935,Male,59,Clothing,4,1200.32,Credit Card,2021-02-04,Kanyon
2119,I189408,C339604,Male,32,Food & Beverage,2,10.46,Cash,2021-02-04,Mall of Istanbul
2120,I142778,C191382,Female,27,Cosmetics,4,162.64,Credit Card,2021-02-04,Zorlu Center
2121,I280460,C338651,Male,57,Shoes,2,1200.34,Cash,2021-02-04,Kanyon
2122,I126018,C236712,Male,42,Food & Beverage,3,15.69,Cash,2021-02-04,Forum Istanbul
2123,I299826,C273288,Female,44,Clothing,5,1500.4,Credit Card,2021-02-04,Mall of Istanbul
2124,I130193,C237377,Female,42,Cosmetics,2,81.32,Cash,2021-02-04,Metropol AVM
2125,I336252,C119601,Male,43,Clothing,2,600.16,Cash,2021-02-04,Istinye Park
2126,I122310,C987371,Male,33,Food & Beverage,4,20.92,Credit Card,2021-02-04,Istinye Park
2127,I151096,C332546,Female,60,Shoes,1,600.17,Cash,2021-02-04,Mall of Istanbul
2128,I257909,C174892,Male,36,Clothing,5,1500.4,Credit Card,2021-02-04,Mall of Istanbul
2129,I123751,C203395,Male,44,Clothing,3,900.24,Debit Card,2021-02-04,Kanyon
2130,I185254,C326577,Male,41,Clothing,2,600.16,Cash,2021-02-04,Forum Istanbul
2131,I529256,C158996,Male,31,Clothing,1,300.08,Debit Card,2021-02-04,Zorlu Center
2132,I186509,C333836,Female,68,Clothing,2,600.16,Credit Card,2021-02-04,Cevahir AVM
2133,I225283,C195813,Male,26,Clothing,1,300.08,Cash,2021-02-04,Zorlu Center
2134,I323047,C240170,Male,41,Toys,1,35.84,Cash,2021-02-04,Kanyon
2135,I313018,C167335,Female,50,Clothing,5,1500.4,Debit Card,2021-02-04,Forum Istanbul
2136,I149090,C145793,Female,68,Cosmetics,1,40.66,Cash,2021-02-04,Metrocity
2137,I316386,C319500,Female,34,Clothing,5,1500.4,Credit Card,2021-02-04,Kanyon
2138,I120335,C220270,Female,58,Clothing,4,1200.32,Cash,2021-02-04,Kanyon
2139,I253935,C795605,Male,43,Clothing,4,1200.32,Credit Card,2021-02-04,Metrocity
2140,I164048,C267136,Male,54,Clothing,4,1200.32,Cash,2021-02-04,Kanyon
2141,I398435,C178743,Male,36,Shoes,5,3000.85,Debit Card,2021-02-04,Kanyon
2142,I240363,C108677,Female,20,Shoes,4,2400.68,Credit Card,2021-02-04,Viaport Outlet
2143,I306383,C218304,Female,52,Clothing,3,900.24,Cash,2021-02-04,Mall of Istanbul
2144,I324875,C151118,Male,24,Food & Beverage,5,26.15,Credit Card,2021-02-04,Metropol AVM
2145,I281788,C331546,Male,33,Clothing,2,600.16,Cash,2021-02-04,Metropol AVM
2146,I275464,C112811,Female,58,Cosmetics,4,162.64,Debit Card,2021-02-04,Cevahir AVM
2147,I830126,C296103,Male,60,Technology,1,1050.0,Cash,2021-02-04,Mall of Istanbul
2148,I173817,C289268,Male,35,Shoes,1,600.17,Cash,2021-02-04,Metropol AVM
2149,I323031,C307845,Female,19,Food & Beverage,5,26.15,Cash,2021-02-04,Forum Istanbul
2150,I339386,C164550,Female,43,Food & Beverage,5,26.15,Cash,2021-02-04,Metrocity
2151,I471992,C488581,Male,26,Clothing,2,600.16,Cash,2021-02-04,Viaport Outlet
2152,I454871,C148548,Female,20,Toys,3,107.52,Cash,2021-02-04,Emaar Square Mall
2153,I255314,C285930,Female,37,Cosmetics,3,121.98,Cash,2021-02-04,Metropol AVM
2154,I307304,C282521,Female,22,Food & Beverage,5,26.15,Credit Card,2021-02-04,Mall of Istanbul
2155,I206672,C203212,Female,53,Clothing,3,900.24,Credit Card,2021-02-04,Istinye Park
2156,I173951,C309352,Female,19,Cosmetics,4,162.64,Debit Card,2021-02-04,Metrocity
2157,I107844,C337062,Female,24,Clothing,3,900.24,Debit Card,2021-02-04,Zorlu Center
2158,I168767,C204902,Male,50,Clothing,2,600.16,Cash,2021-02-04,Metrocity
2159,I112750,C109487,Male,28,Clothing,2,600.16,Cash,2021-02-04,Emaar Square Mall
2160,I101190,C115198,Female,66,Food & Beverage,1,5.23,Credit Card,2021-02-04,Istinye Park
2161,I676106,C297474,Female,59,Food & Beverage,2,10.46,Cash,2021-02-04,Mall of Istanbul
2162,I491667,C225941,Male,58,Clothing,3,900.24,Cash,2021-02-04,Mall of Istanbul
2163,I761550,C318014,Female,34,Souvenir,1,11.73,Cash,2021-02-04,Mall of Istanbul
2164,I972825,C299423,Male,26,Clothing,2,600.16,Cash,2021-02-04,Kanyon
2165,I200460,C589524,Female,64,Technology,1,1050.0,Debit Card,2021-02-04,Kanyon
2166,I103142,C104103,Female,50,Toys,3,107.52,Cash,2021-02-04,Emaar Square Mall
2167,I209049,C314314,Male,19,Toys,4,143.36,Credit Card,2021-02-04,Mall of Istanbul
2168,I134925,C313120,Male,21,Cosmetics,1,40.66,Cash,2021-02-04,Metropol AVM
2169,I720462,C178486,Male,37,Souvenir,4,46.92,Cash,2021-02-04,Kanyon
2170,I130861,C979456,Female,44,Toys,3,107.52,Debit Card,2021-02-04,Mall of Istanbul
2171,I149503,C300360,Female,66,Shoes,5,3000.85,Debit Card,2021-02-04,Mall of Istanbul
2172,I207381,C306420,Male,56,Cosmetics,3,121.98,Cash,2021-02-04,Kanyon
2173,I323991,C208737,Male,47,Shoes,2,1200.34,Credit Card,2021-02-04,Forum Istanbul
2174,I102917,C262929,Male,59,Clothing,3,900.24,Debit Card,2021-02-04,Metrocity
2175,I243017,C280023,Male,23,Food & Beverage,5,26.15,Credit Card,2021-02-04,Metrocity
2176,I219372,C176686,Female,37,Cosmetics,4,162.64,Cash,2021-02-04,Istinye Park
2177,I272121,C159714,Female,36,Shoes,3,1800.51,Cash,2021-02-04,Metropol AVM
2178,I208769,C142865,Female,45,Books,5,75.75,Cash,2021-02-04,Kanyon
2179,I197067,C106441,Female,23,Toys,5,179.2,Cash,2021-02-04,Emaar Square Mall
2180,I512716,C504205,Female,27,Toys,2,71.68,Cash,2021-02-04,Kanyon
2181,I794062,C560757,Female,46,Souvenir,2,23.46,Cash,2021-02-04,Kanyon
2182,I334453,C249347,Female,49,Food & Beverage,1,5.23,Cash,2021-02-04,Istinye Park
2183,I331533,C640186,Female,36,Shoes,2,1200.34,Debit Card,2021-02-04,Kanyon
2184,I256067,C272162,Female,27,Cosmetics,2,81.32,Cash,2021-02-04,Emaar Square Mall
2185,I315724,C234105,Female,51,Clothing,2,600.16,Cash,2021-02-04,Metropol AVM
2186,I305208,C618704,Female,28,Cosmetics,2,81.32,Credit Card,2021-02-04,Mall of Istanbul
2187,I177308,C222071,Female,46,Cosmetics,4,162.64,Credit Card,2021-02-04,Kanyon
2188,I107126,C270507,Female,41,Toys,2,71.68,Debit Card,2021-02-04,Istinye Park
2189,I308254,C172126,Female,62,Cosmetics,3,121.98,Cash,2021-02-04,Metrocity
2190,I616206,C319161,Female,39,Clothing,1,300.08,Debit Card,2021-02-04,Mall of Istanbul
2191,I315642,C287007,Female,67,Toys,4,143.36,Cash,2021-02-04,Kanyon
2192,I856731,C253168,Female,33,Clothing,2,600.16,Cash,2021-02-04,Istinye Park
2193,I103752,C196241,Male,30,Shoes,2,1200.34,Credit Card,2021-02-04,Metropol AVM
2194,I281964,C200100,Male,21,Souvenir,1,11.73,Credit Card,2021-02-04,Metrocity
2195,I310263,C282345,Female,24,Cosmetics,1,40.66,Cash,2021-02-04,Viaport Outlet
2196,I254895,C279801,Female,19,Food & Beverage,1,5.23,Credit Card,2021-02-04,Metrocity
2197,I136471,C338189,Male,21,Food & Beverage,5,26.15,Debit Card,2021-02-04,Mall of Istanbul
2198,I178686,C102970,Male,62,Toys,1,35.84,Cash,2021-02-04,Metrocity
2199,I133492,C406999,Female,44,Clothing,2,600.16,Cash,2021-02-05,Emaar Square Mall
2200,I164112,C244168,Female,56,Clothing,5,1500.4,Debit Card,2021-02-05,Cevahir AVM
2201,I226096,C298422,Female,51,Clothing,4,1200.32,Credit Card,2021-02-05,Metrocity
2202,I215686,C327005,Female,35,Cosmetics,1,40.66,Credit Card,2021-02-05,Cevahir AVM
2203,I150628,C179464,Male,68,Food & Beverage,1,5.23,Cash,2021-02-05,Metrocity
2204,I128262,C687788,Male,18,Toys,4,143.36,Cash,2021-02-05,Mall of Istanbul
2205,I263931,C232865,Male,24,Food & Beverage,5,26.15,Cash,2021-02-05,Kanyon
2206,I258940,C908541,Male,54,Technology,5,5250.0,Credit Card,2021-02-05,Mall of Istanbul
2207,I388465,C167208,Female,25,Food & Beverage,1,5.23,Credit Card,2021-02-05,Istinye Park
2208,I470786,C333390,Female,19,Toys,4,143.36,Credit Card,2021-02-05,Metropol AVM
2209,I122477,C534891,Male,55,Clothing,2,600.16,Credit Card,2021-02-05,Metropol AVM
2210,I327413,C910559,Female,57,Clothing,5,1500.4,Cash,2021-02-05,Mall of Istanbul
2211,I330396,C196420,Female,34,Cosmetics,5,203.3,Cash,2021-02-05,Kanyon
